address_type,address,last_active,active_chains,tx_count_7d,tx_count_30d
sol,9w71VNgGX1zwGwye2tX1nV8a1UcgLyJp1zfxCHDGiuCQ,2026-04-14 13:59:08.000 UTC,solana,23,88
evm,0xa6a279ae513d06acd243eba5406e3cebed342fb8,2026-04-14 13:55:23.000 UTC,base|ethereum,14,70
sol,cnaBs3dS7h3mx5fmBJG6FQ96b2rSBraCihqTEomZF48,2026-04-14 13:44:41.000 UTC,solana,6,17
evm,0x9483d055cc13f363f1799c69d9617cd624fc591a,2026-04-14 13:39:38.000 UTC,bnb|ethereum,3,18
evm,0xc396e325afef0e49d7712a223208c8440c1b9afe,2026-04-14 13:03:47.000 UTC,base|bnb|ethereum,4,30
evm,0xaa7ce71fd8ddffda746af77ba54ccd96b52dfe92,2026-04-14 12:44:48.000 UTC,base|bnb|ethereum,10,63
evm,0xe73ff3bb55e5b407eebd10930c80449101a9f488,2026-04-14 12:42:13.000 UTC,base|bnb|ethereum,8,35
evm,0xb49749b38081fa66c4c2b14486b666d302847eaf,2026-04-14 12:35:59.000 UTC,base|bnb|ethereum,8,53
sol,FhLXeB6rfDUpAjWLGPjh6kd6VvDzaW7GBKrdsLuewDGR,2026-04-14 11:42:52.000 UTC,solana,14,140
evm,0x37ac09e1640577e1d71e3787297a56b58f88f0f2,2026-04-14 09:06:47.000 UTC,base|bnb|ethereum,3,163
evm,0x79f91e61466426e50499b9bd56e46ac2f9df78e6,2026-04-14 08:52:25.000 UTC,base|bnb|ethereum,19,68
evm,0x68e33a587f1d697c5e0f8b8794cfa304b41a61e2,2026-04-14 08:49:47.000 UTC,base|bnb|ethereum,28,40
evm,0x01788e63e54d738f0dac036de1392284d467897f,2026-04-14 08:38:05.000 UTC,base|bnb|ethereum,19,54
evm,0x956f457f181aa4a5296d31fbed1d19de9959504e,2026-04-14 08:21:26.000 UTC,base|bnb|ethereum,4,19
sol,CoXccZ3RqJGHQspgei4NdMCW2No1EtTCgevy9CYwaNey,2026-04-14 08:11:15.000 UTC,solana,347,367
evm,0x47cc04d208784c08513a96a8a608a36a821ef309,2026-04-14 07:42:37.000 UTC,base|bnb|ethereum,5,27
evm,0xbc2156686efd0f62eb697ef0af8955d1a518d655,2026-04-14 05:39:35.000 UTC,base|ethereum,13,80
evm,0x316aa2137ae15558986d649d4afa8f0f7b43564d,2026-04-14 05:28:47.000 UTC,base|bnb|ethereum,23,55
evm,0x8a7cd852dfee6a5c05a8f049a17a14361f8e5ea7,2026-04-14 04:55:54.000 UTC,base|bnb|ethereum,13,40
evm,0xddd54d4d71ff9ad625d8e90dc6ddeafeeb5632ba,2026-04-14 03:45:54.000 UTC,bnb|ethereum,3,98
evm,0xc693b4ffb338579467a541b2bf267b1955870920,2026-04-14 03:22:59.000 UTC,base|bnb|ethereum,42,112
evm,0x8221c9eacc43070d8b48604af86007bce152f5e0,2026-04-14 01:23:05.000 UTC,base|bnb|ethereum,6,10
evm,0xb4d64772218d36f97974e8bb6ef0d01b026c9a14,2026-04-13 22:34:23.000 UTC,base|ethereum,4,77
evm,0xec34c720f562ff3e7e87c444be3bf6087e43e6ae,2026-04-13 20:22:59.000 UTC,ethereum,9,38
evm,0x6582a0fae4931833aa1f663785da13cbfcb90ab6,2026-04-13 19:55:35.000 UTC,base|ethereum,5,20
evm,0xef710ef409bb22e9b5865870854009774bd60c7e,2026-04-13 19:39:11.000 UTC,bnb|ethereum,3,13
evm,0x9499054d02a725316d61fa896c29d58550ee4a5b,2026-04-13 18:59:35.000 UTC,base|ethereum,13,17
evm,0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,2026-04-13 18:59:25.000 UTC,base|ethereum,12,20
sol,Df9LcxyMXjyPQmQvpG3sXr6J3DXpqpEr2NSbaa416a3e,2026-04-13 14:13:21.000 UTC,solana,16,22
evm,0xd3819bd2023035a540a216a1863f14e7ab0274da,2026-04-13 13:57:23.000 UTC,base|bnb|ethereum,5,37
sol,3hSZpJD28iFq61E43hWZbdw3jQ2bbgjgzUmRqtAXZk7u,2026-04-13 13:23:04.000 UTC,solana,24,24
evm,0xd360ecb91406717ad13c4fae757b69b417e2af6b,2026-04-13 12:53:05.000 UTC,bnb|ethereum,10,93
evm,0xaa7a9d80971e58641442774c373c94aafee87d66,2026-04-13 09:35:23.000 UTC,base|ethereum,4,62
